Time,Mode,Side,Signal_Delay_sec,Exec_Delay_sec,Price_Before,Price_After
2026-03-18 22:15:00,LIVE,LONG,0.1009,0.5024,2222.0,2222.01
2026-03-19 00:30:00,LIVE,LONG,0.0693,0.5103,2173.49,2173.23
2026-03-19 01:30:00,LIVE,LONG,0.1463,0.4686,71446.7,71446.9
2026-03-19 01:45:00,LIVE,LONG,0.1055,0.4875,71555.5,71499.35
2026-03-19 01:45:01,LIVE,LONG,0.9092,0.3788,71551.8,71516.83333333333
2026-03-19 01:45:02,LIVE,LONG,1.8237,0.3602,71551.8,71524.9
2026-03-20 00:30:00,LIVE,LONG,0.0816,0.5107,69500.1,69487.1
2026-03-20 00:30:01,LIVE,LONG,0.9088,0.4010,69487.3,69483.85
2026-03-20 00:30:02,LIVE,LONG,1.7378,0.3909,69481.8,69482.6
2026-03-20 00:30:03,LIVE,LONG,2.4715,0.3830,69480.1,69484.225
2026-03-21 02:00:01,LIVE,LONG,0.1546,0.4353,69964.7,69969.3
2026-03-21 02:15:00,LIVE,LONG,0.0699,0.4163,69937.1,69959.75
2026-03-21 02:15:01,LIVE,LONG,0.7901,0.3903,69937.1,69956.56666666667
2026-03-21 02:15:02,LIVE,LONG,1.5137,0.3791,69950.2,69954.975
2026-03-21 04:00:10,LIVE,LONG,9.5030,0.3615,2132.42,2132.55
2026-03-21 05:30:00,LIVE,LONG,0.1166,0.4682,2151.22,2151.4
