ts,open,high,low,close,volume
2025-03-13T20:00:00+00:00,1851.83,1883.56,1839.42,1864.47,4911.36902
2025-03-14T00:00:00+00:00,1864.63,1894.62,1861.31,1889.28,3540.66187
2025-03-14T04:00:00+00:00,1889.66,1905.42,1887.77,1893.06,5282.43013
2025-03-14T08:00:00+00:00,1893.07,1908.68,1889.59,1902.95,5494.97675
2025-03-14T12:00:00+00:00,1902.24,1942.31,1880.61,1921.68,14090.71466
2025-03-14T16:00:00+00:00,1922.04,1945.25,1914.36,1934.05,9416.7154
2025-03-14T20:00:00+00:00,1934.17,1934.63,1908.49,1911.69,4509.04404
2025-03-15T00:00:00+00:00,1911.86,1923,1903.77,1920.44,2873.43222
2025-03-15T04:00:00+00:00,1921,1934.99,1915,1917.67,3251.04682
2025-03-15T08:00:00+00:00,1918.59,1931.86,1913.04,1929.28,2581.27364
2025-03-15T12:00:00+00:00,1929,1939.58,1922.9,1937.34,2548.46824
2025-03-15T16:00:00+00:00,1937.78,1947.99,1929.13,1937.31,3793.75916
2025-03-15T20:00:00+00:00,1937.99,1957.01,1936.62,1937.1,4667.6724
2025-03-16T00:00:00+00:00,1937.62,1940.44,1916.95,1928,2329.47616
2025-03-16T04:00:00+00:00,1927.33,1933.99,1921.53,1925.7,1764.74977
2025-03-16T08:00:00+00:00,1926.3,1926.63,1867.18,1874.1,6982.86811
2025-03-16T12:00:00+00:00,1874.15,1898.32,1873.47,1895.01,5102.19877
2025-03-16T16:00:00+00:00,1895,1923.34,1860.97,1880.37,9485.06316
2025-03-16T20:00:00+00:00,1882.73,1898,1870.43,1887.01,3640.53008
2025-03-17T00:00:00+00:00,1887.01,1915.33,1886.46,1909.01,4268.02572
2025-03-17T04:00:00+00:00,1909.4,1912.98,1880.07,1900.73,3462.46876
2025-03-17T08:00:00+00:00,1900.73,1917.99,1893.21,1910.65,3733.67924
2025-03-17T12:00:00+00:00,1910.6,1936.99,1889,1919.36,11869.49132
2025-03-17T16:00:00+00:00,1919.36,1952.4,1908.25,1942,6362.0193
2025-03-17T20:00:00+00:00,1942.6,1949,1922.28,1926.39,3619.2248
2025-03-18T00:00:00+00:00,1926.45,1929.79,1897.49,1901.36,4187.61169
2025-03-18T04:00:00+00:00,1901.17,1910.11,1894.57,1905.06,3744.50889
2025-03-18T08:00:00+00:00,1905.01,1912.99,1885.61,1892.96,7941.05204
2025-03-18T12:00:00+00:00,1892.05,1902.64,1872.32,1881.02,7037.34629
2025-03-18T16:00:00+00:00,1881.03,1908.3,1873.76,1904.75,6067.18575
2025-03-18T20:00:00+00:00,1904.57,1935,1898.74,1931.56,5495.72003
2025-03-19T00:00:00+00:00,1932.55,1948.89,1927.7,1937.95,8723.13286
2025-03-19T04:00:00+00:00,1938.3,1942.63,1930.29,1931.98,5730.16516
2025-03-19T08:00:00+00:00,1931.77,2033.49,1931.77,2027.99,22396.9291
2025-03-19T12:00:00+00:00,2028,2056.51,1995.43,2049,13994.06184
2025-03-19T16:00:00+00:00,2049,2059.95,1998.64,2030.38,16692.82553
2025-03-19T20:00:00+00:00,2030.99,2069.85,2028.58,2056.09,4103.92647
2025-03-20T00:00:00+00:00,2056.07,2067.81,2020.7,2022.78,4802.91837
2025-03-20T04:00:00+00:00,2022.78,2025.59,2005.47,2007.66,5588.4388
2025-03-20T08:00:00+00:00,2008.58,2020.99,1972.82,1988.5,6680.78222
2025-03-20T12:00:00+00:00,1989.06,2010.42,1966.78,1972.19,5532.74745
2025-03-20T16:00:00+00:00,1972.18,1979.44,1952.5,1974,7195.66297
2025-03-20T20:00:00+00:00,1974.81,1984.79,1971.33,1983.51,1742.99589
2025-03-21T00:00:00+00:00,1983.32,1996.72,1973.01,1978.4,3119.88312
2025-03-21T04:00:00+00:00,1978.81,1989.91,1966.68,1977.1,2467.21777
2025-03-21T08:00:00+00:00,1976.75,1982.32,1956.82,1966.88,2357.90914
2025-03-21T12:00:00+00:00,1966.88,1973.33,1937.3,1951.21,4187.09852
2025-03-21T16:00:00+00:00,1950.47,1977.78,1946.6,1974.03,2741.91833
2025-03-21T20:00:00+00:00,1974.03,1983,1962.63,1965.35,1859.36577
2025-03-22T00:00:00+00:00,1965.3,1986.99,1964.69,1986.12,4430.57702
2025-03-22T04:00:00+00:00,1986.23,1992.99,1983.44,1984.22,3531.95001
2025-03-22T08:00:00+00:00,1984.25,2006.28,1982,1990.42,5455.64817
2025-03-22T12:00:00+00:00,1990.06,1997.72,1981.24,1986.39,3446.30135
2025-03-22T16:00:00+00:00,1986.39,1999.23,1982.62,1995.85,2875.67282
2025-03-22T20:00:00+00:00,1995.84,2003.91,1975.4,1980.65,3378.09339
2025-03-23T00:00:00+00:00,1980.65,2008.27,1977.16,2008.27,6386.01269
2025-03-23T04:00:00+00:00,2008.61,2018.3,1992.27,2007.94,15197.7814
2025-03-23T08:00:00+00:00,2008.28,2020.58,2003.07,2007.85,5058.98651
2025-03-23T12:00:00+00:00,2008.53,2019.99,2002.58,2007.11,3619.7304
2025-03-23T16:00:00+00:00,2007.05,2008.21,1988,1996.01,3123.79922
2025-03-23T20:00:00+00:00,1996.3,2006.65,1981,2005.79,3349.74832
2025-03-24T00:00:00+00:00,2004.43,2021,1978,2014.56,7673.71761
2025-03-24T04:00:00+00:00,2014.56,2079,2014.56,2069.33,12639.87123
2025-03-24T08:00:00+00:00,2068.88,2103.06,2068.84,2091.81,7996.7445
2025-03-24T12:00:00+00:00,2092.93,2101.9,2073.47,2089.9,7417.89309
2025-03-24T16:00:00+00:00,2089.21,2100.87,2068.18,2089.01,5233.02088
2025-03-24T20:00:00+00:00,2089.01,2095.19,2068.95,2081.2,2063.56017
2025-03-25T00:00:00+00:00,2081.21,2097.22,2042.01,2043.31,4672.7448
2025-03-25T04:00:00+00:00,2043.31,2066.58,2038,2055.44,3322.60369
2025-03-25T08:00:00+00:00,2055.36,2074.99,2053.49,2069,2903.7241
2025-03-25T12:00:00+00:00,2069.41,2079.8,2052.28,2067.89,5124.74965
2025-03-25T16:00:00+00:00,2068.57,2083.17,2057,2075.28,2610.23202
2025-03-25T20:00:00+00:00,2075.92,2082.7,2054.07,2066.61,2839.79044
2025-03-26T00:00:00+00:00,2066.2,2078.41,2042.7,2049.06,2778.87932
2025-03-26T04:00:00+00:00,2048,2071.36,2047.72,2069.33,4237.73349
2025-03-26T08:00:00+00:00,2069.32,2075.2,2057.64,2068.24,5326.1037
2025-03-26T12:00:00+00:00,2068.01,2070.41,2007,2012.77,10037.77082
2025-03-26T16:00:00+00:00,2012.2,2022.13,1981.61,1999.69,9475.18816
2025-03-26T20:00:00+00:00,2000.02,2017.4,1992.12,2008.83,2188.50455
2025-03-27T00:00:00+00:00,2009.54,2037.34,2007.06,2031.02,3855.44689
2025-03-27T04:00:00+00:00,2031.5,2032.5,2021.4,2026.31,2032.85892
2025-03-27T08:00:00+00:00,2026.19,2035.9,2012.32,2016.8,2982.95585
2025-03-27T12:00:00+00:00,2016.01,2025.94,1987.1,2005.59,10672.83959
2025-03-27T16:00:00+00:00,2005.46,2015.06,1994.02,2003.49,5050.43894
2025-03-27T20:00:00+00:00,2004.06,2019.42,1999.89,2003.75,2958.60782
2025-03-28T00:00:00+00:00,2003.77,2015.93,1992.23,2000.3,2892.59731
2025-03-28T04:00:00+00:00,1999.55,2004.49,1904.29,1910.48,15681.73918
2025-03-28T08:00:00+00:00,1910.59,1923.5,1866.26,1900.97,10578.93159
2025-03-28T12:00:00+00:00,1900.1,1902.5,1871.64,1872.13,11260.42305
2025-03-28T16:00:00+00:00,1872.12,1887.1,1862.44,1873.5,3533.25356
2025-03-28T20:00:00+00:00,1874.17,1901.62,1874.17,1896.29,1960.94336
2025-03-29T00:00:00+00:00,1896.46,1913.04,1886.27,1899.92,2500.80124
2025-03-29T04:00:00+00:00,1899.92,1904.88,1875.62,1880.64,2212.93967
2025-03-29T08:00:00+00:00,1880.15,1887.12,1833.99,1844.16,6234.44228
2025-03-29T12:00:00+00:00,1844.5,1863.16,1834.02,1839.5,1899.05552
2025-03-29T16:00:00+00:00,1840.28,1847.63,1799.07,1827.33,7525.40855
2025-03-29T20:00:00+00:00,1827.06,1830.19,1811.76,1827.63,2392.5382
2025-03-30T00:00:00+00:00,1827.79,1844.38,1812.94,1834.48,2317.47095
2025-03-30T04:00:00+00:00,1834.52,1846.48,1832.71,1837.41,1127.98272
2025-03-30T08:00:00+00:00,1837.45,1848.5,1828,1833.14,3224.97562
2025-03-30T12:00:00+00:00,1833.16,1839.41,1791,1813.4,7158.18453
2025-03-30T16:00:00+00:00,1813.07,1833.41,1785.7,1814.52,4123.2665
2025-03-30T20:00:00+00:00,1814.27,1821.44,1768.14,1806.93,3723.78169
2025-03-31T00:00:00+00:00,1807.5,1823.2,1777.17,1798.5,7114.75188
2025-03-31T04:00:00+00:00,1798.31,1813.58,1789.24,1798.5,5804.48968
2025-03-31T08:00:00+00:00,1798.51,1819.5,1777.8,1813.64,4682.49878
2025-03-31T12:00:00+00:00,1813.5,1853.78,1796.3,1842.06,10395.60426
2025-03-31T16:00:00+00:00,1842.37,1847.25,1817.4,1827.51,3550.71512
2025-03-31T20:00:00+00:00,1827.5,1834.73,1816.52,1822.19,2403.5029
2025-04-01T00:00:00+00:00,1821.5,1842.32,1818.14,1834.92,4105.92049
2025-04-01T04:00:00+00:00,1835,1866.5,1832.36,1854.32,2482.35779
2025-04-01T08:00:00+00:00,1854.46,1892,1854.46,1862.47,5256.58606
2025-04-01T12:00:00+00:00,1862.6,1927.5,1842.63,1918.08,11635.581
2025-04-01T16:00:00+00:00,1918.59,1924.17,1901.7,1909.88,5495.1472
2025-04-01T20:00:00+00:00,1910.2,1922.19,1897.57,1905.01,2598.33405
2025-04-02T00:00:00+00:00,1905.15,1908.22,1872.4,1875.96,3370.83031
2025-04-02T04:00:00+00:00,1876.37,1883.28,1852.18,1865.32,6951.05127
2025-04-02T08:00:00+00:00,1865.06,1887.99,1862.74,1868.57,3369.24319
2025-04-02T12:00:00+00:00,1868.78,1918.51,1854.73,1900.9,16865.49956
2025-04-02T16:00:00+00:00,1901.21,1915.99,1882.63,1912,6404.07086
2025-04-02T20:00:00+00:00,1911.46,1954.73,1782,1795.39,38780.57684
2025-04-03T00:00:00+00:00,1795.24,1834.57,1788.98,1824.36,4994.93856
2025-04-03T04:00:00+00:00,1824.37,1844.95,1807.38,1815.44,3999.72288
2025-04-03T08:00:00+00:00,1815.1,1824.17,1787.41,1795.21,5803.89401
2025-04-03T12:00:00+00:00,1795.21,1800.48,1750.75,1782.43,22278.25505
2025-04-03T16:00:00+00:00,1782.27,1798.86,1767.66,1787.09,5781.96733
2025-04-03T20:00:00+00:00,1787.08,1821.5,1780,1816.86,5547.36751
2025-04-04T00:00:00+00:00,1817.23,1823.11,1772,1792.23,4301.55587
2025-04-04T04:00:00+00:00,1793.22,1821.81,1784.17,1817.8,2989.25312
2025-04-04T08:00:00+00:00,1818.16,1835.15,1759,1784.21,11391.50135
2025-04-04T12:00:00+00:00,1783.88,1820.56,1770,1795.22,15486.2421
2025-04-04T16:00:00+00:00,1795.29,1828.89,1783.42,1811.14,8446.31708
2025-04-04T20:00:00+00:00,1810.45,1827.5,1807.63,1816.95,3647.4757
2025-04-05T00:00:00+00:00,1816.95,1827.06,1809.85,1810.14,1701.09479
2025-04-05T04:00:00+00:00,1810.11,1815.44,1804.21,1812.79,1382.00688
2025-04-05T08:00:00+00:00,1813.25,1821.98,1806.88,1807.33,2337.34569
2025-04-05T12:00:00+00:00,1807.4,1808.23,1778.14,1782.09,3585.80525
2025-04-05T16:00:00+00:00,1781.87,1795.3,1780.01,1782.16,1002.2663
2025-04-05T20:00:00+00:00,1782.39,1809.9,1765.04,1806.51,4317.6405
2025-04-06T00:00:00+00:00,1806.28,1816.52,1802.13,1809.8,1622.37921
2025-04-06T04:00:00+00:00,1809.8,1813.3,1792.01,1797.7,1498.1409
2025-04-06T08:00:00+00:00,1798.14,1798.14,1783.44,1789.2,3366.75546
2025-04-06T12:00:00+00:00,1789.19,1791.91,1737.94,1760.3,12777.91304
2025-04-06T16:00:00+00:00,1759.42,1759.78,1602.06,1626.5,32860.3566
2025-04-06T20:00:00+00:00,1626.04,1630.73,1538.81,1580.03,35057.72746
2025-04-07T00:00:00+00:00,1580.93,1614.01,1522.12,1543.22,17136.98744
2025-04-07T04:00:00+00:00,1543.72,1561.1,1412.4,1460.37,69799.97055
2025-04-07T08:00:00+00:00,1460.17,1520.57,1456,1482.53,22183.16724
2025-04-07T12:00:00+00:00,1483.11,1638.2,1478.46,1556.61,104162.84599
2025-04-07T16:00:00+00:00,1556.55,1572.49,1526.02,1544.51,21854.96847
2025-04-07T20:00:00+00:00,1545.15,1585.3,1545.15,1552,5951.53457
2025-04-08T00:00:00+00:00,1552.55,1618.6,1541.23,1584.86,7253.32511
2025-04-08T04:00:00+00:00,1584.76,1602.26,1562.01,1570.98,5073.18767
