ts,open,high,low,close,volume
2025-03-13T22:30:00+00:00,1873.35,1877.2,1872.15,1876,182.40766
2025-03-13T22:45:00+00:00,1876,1881.4,1876,1880.54,416.44762
2025-03-13T23:00:00+00:00,1879.22,1883.56,1864.17,1870.47,770.78525
2025-03-13T23:15:00+00:00,1869.45,1871.74,1862.02,1863.18,220.75662
2025-03-13T23:30:00+00:00,1863,1866.79,1861.42,1863.2,131.51325
2025-03-13T23:45:00+00:00,1863.58,1865.73,1861.39,1864.47,552.46158
2025-03-14T00:00:00+00:00,1864.63,1869.35,1861.31,1868.28,149.75622
2025-03-14T00:15:00+00:00,1868.09,1871.15,1864.01,1869.16,182.87342
2025-03-14T00:30:00+00:00,1869.49,1877.78,1869.49,1877.14,207.14188
2025-03-14T00:45:00+00:00,1876.83,1879.58,1873.13,1874.68,154.6347
2025-03-14T01:00:00+00:00,1874.67,1876.46,1869.16,1876.45,72.42469
2025-03-14T01:15:00+00:00,1875.51,1877.43,1870.71,1877.43,103.44967
2025-03-14T01:30:00+00:00,1877.63,1889.59,1877.51,1887.38,478.13984
2025-03-14T01:45:00+00:00,1887,1888.99,1880.23,1881.59,195.01466
2025-03-14T02:00:00+00:00,1881.68,1887,1880.21,1886.18,163.80901
2025-03-14T02:15:00+00:00,1886.64,1893.66,1884.64,1890.96,191.77608
2025-03-14T02:30:00+00:00,1891.25,1892.01,1887.19,1890.02,383.73879
2025-03-14T02:45:00+00:00,1890.07,1894.62,1888.37,1892.63,543.09135
2025-03-14T03:00:00+00:00,1893.17,1893.17,1885.68,1888.43,239.03372
2025-03-14T03:15:00+00:00,1888.86,1890.6,1885.08,1887.01,226.75317
2025-03-14T03:30:00+00:00,1886.09,1888.59,1884.31,1886.41,122.89832
2025-03-14T03:45:00+00:00,1886.89,1889.5,1885.52,1889.28,126.12635
2025-03-14T04:00:00+00:00,1889.66,1894.78,1888.96,1894.78,214.15724
2025-03-14T04:15:00+00:00,1894.76,1896.94,1892.68,1893.91,444.22467
2025-03-14T04:30:00+00:00,1893.32,1894.22,1890.73,1891.39,92.30877
2025-03-14T04:45:00+00:00,1891.52,1894.5,1890.75,1890.89,175.39124
2025-03-14T05:00:00+00:00,1890.81,1892.61,1887.77,1888.1,122.80668
2025-03-14T05:15:00+00:00,1888.25,1894.94,1888.25,1893.65,285.6992
2025-03-14T05:30:00+00:00,1893.65,1899.41,1893.13,1896.97,292.17582
2025-03-14T05:45:00+00:00,1896.52,1896.52,1894.08,1895.33,167.274
2025-03-14T06:00:00+00:00,1895.6,1896.32,1890.6,1891.83,107.5349
2025-03-14T06:15:00+00:00,1893.2,1893.61,1889.28,1889.71,582.00297
2025-03-14T06:30:00+00:00,1889.69,1894.37,1888.39,1892.44,642.47278
2025-03-14T06:45:00+00:00,1892.43,1895.69,1891.94,1895.16,126.64157
2025-03-14T07:00:00+00:00,1894.47,1894.47,1888.25,1890.54,500.05748
2025-03-14T07:15:00+00:00,1890.99,1894.66,1890.06,1893.11,143.62636
2025-03-14T07:30:00+00:00,1893,1905.42,1891.01,1902.14,816.61384
2025-03-14T07:45:00+00:00,1902.46,1904.56,1892.79,1893.06,569.44261
2025-03-14T08:00:00+00:00,1893.07,1896.56,1891.52,1896.38,258.99497
2025-03-14T08:15:00+00:00,1896.97,1902.97,1896.53,1898.8,540.37514
2025-03-14T08:30:00+00:00,1899.99,1902.3,1891.46,1895.57,531.71466
2025-03-14T08:45:00+00:00,1896.5,1900.44,1894.59,1894.88,413.2508
2025-03-14T09:00:00+00:00,1895.26,1898.99,1892.26,1892.38,234.71469
2025-03-14T09:15:00+00:00,1892.77,1897.75,1892.61,1897.75,256.48271
2025-03-14T09:30:00+00:00,1897.92,1898.32,1892.01,1897.45,264.19387
2025-03-14T09:45:00+00:00,1897.47,1897.47,1893.28,1894.48,168.97713
2025-03-14T10:00:00+00:00,1894.57,1895.59,1889.59,1891.12,282.42301
2025-03-14T10:15:00+00:00,1891.12,1897.24,1889.79,1897.08,263.43005
2025-03-14T10:30:00+00:00,1896.35,1906.54,1894.01,1904.08,840.21732
2025-03-14T10:45:00+00:00,1903.21,1908.68,1898.08,1898.09,622.54371
2025-03-14T11:00:00+00:00,1898.51,1902.54,1897.84,1901.88,394.29115
2025-03-14T11:15:00+00:00,1900.61,1904,1899.91,1903.84,133.51835
2025-03-14T11:30:00+00:00,1904.57,1906.47,1902.01,1905.08,145.31184
2025-03-14T11:45:00+00:00,1904.7,1904.72,1900.95,1902.95,144.53735
2025-03-14T12:00:00+00:00,1902.24,1904.39,1898.5,1904.27,301.13977
2025-03-14T12:15:00+00:00,1904.29,1908.35,1902.83,1904.48,314.07795
2025-03-14T12:30:00+00:00,1904.91,1905.15,1899.16,1899.57,233.57296
2025-03-14T12:45:00+00:00,1899.87,1902.8,1895.13,1902.8,480.31949
2025-03-14T13:00:00+00:00,1902.81,1905.63,1899.86,1899.94,503.4505
2025-03-14T13:15:00+00:00,1899.66,1902.21,1897.26,1898.93,179.55349
