ts,open,high,low,close,volume
2025-02-26T00:00:00+00:00,88685.78,89414.14,82264.99,84220.32,9031.27245
2025-02-27T00:00:00+00:00,84260.09,87078.44,82728.01,84712.01,7006.38713
2025-02-28T00:00:00+00:00,84712.02,85107.5,78276.98,84350.38,13472.20726
2025-03-01T00:00:00+00:00,84357.01,86557.98,83824.84,86068.83,2985.00965
2025-03-02T00:00:00+00:00,86055.36,94995.88,85053.23,94265.52,7767.70179
2025-03-03T00:00:00+00:00,94265.51,94411.63,85140,86216.01,8752.3761
2025-03-04T00:00:00+00:00,86230,88962.74,81506.62,87279.92,8441.36326
2025-03-05T00:00:00+00:00,87264.48,90999.99,86394.6,90606.01,6198.74504
2025-03-06T00:00:00+00:00,90606.01,92804.19,87841.88,89931.88,5559.55925
2025-03-07T00:00:00+00:00,89931.88,91252.59,84688.43,86801.1,7827.67629
2025-03-08T00:00:00+00:00,86769.11,86897.24,85233.01,86222.46,1411.73494
2025-03-09T00:00:00+00:00,86183.67,86500,80037.91,80700,3202.71231
2025-03-10T00:00:00+00:00,80734.3,84048.7,77464.66,78590.28,6417.58865
2025-03-11T00:00:00+00:00,78595.84,83614.18,76606.02,82933,6400.0673
2025-03-12T00:00:00+00:00,82939.97,84481.41,80612.69,83676.04,3989.71402
2025-03-13T00:00:00+00:00,83664.55,84332.99,79943.55,81113.37,3422.80881
2025-03-14T00:00:00+00:00,81113.37,85303.52,80819.97,83975.88,3509.10271
2025-03-15T00:00:00+00:00,83983.2,84676.27,83620.31,84338.43,1340.02379
2025-03-16T00:00:00+00:00,84338.43,85099.75,81987.8,82581.33,2127.87521
2025-03-17T00:00:00+00:00,82576.95,84756,82458.49,84010.02,2164.01216
2025-03-18T00:00:00+00:00,84018.06,84018.26,81154.98,82719.7,2387.14175
2025-03-19T00:00:00+00:00,82716.57,87001.78,82548,86839.99,4060.60195
2025-03-20T00:00:00+00:00,86842.73,87440.39,83656.84,84222.53,2871.95666
2025-03-21T00:00:00+00:00,84222.53,84838.41,83183.15,84080.38,1387.78167
2025-03-22T00:00:00+00:00,84088.8,84537.75,83660.86,83840.58,739.6434
2025-03-23T00:00:00+00:00,83818.7,86124.93,83811.24,86080.4,1041.44554
2025-03-24T00:00:00+00:00,86080.39,88759.31,85521.1,87498.16,3857.42732
