ts,open,high,low,close,volume
2025-03-13T22:00:00+00:00,1861.21,1874.71,1858.5,1874.71,535.57474
2025-03-13T22:30:00+00:00,1873.35,1881.4,1872.15,1880.54,598.85528
2025-03-13T23:00:00+00:00,1879.22,1883.56,1862.02,1863.18,991.54187
2025-03-13T23:30:00+00:00,1863,1866.79,1861.39,1864.47,683.97483
2025-03-14T00:00:00+00:00,1864.63,1871.15,1861.31,1869.16,332.62964
2025-03-14T00:30:00+00:00,1869.49,1879.58,1869.49,1874.68,361.77658
2025-03-14T01:00:00+00:00,1874.67,1877.43,1869.16,1877.43,175.87436
2025-03-14T01:30:00+00:00,1877.63,1889.59,1877.51,1881.59,673.1545
2025-03-14T02:00:00+00:00,1881.68,1893.66,1880.21,1890.96,355.58509
2025-03-14T02:30:00+00:00,1891.25,1894.62,1887.19,1892.63,926.83014
2025-03-14T03:00:00+00:00,1893.17,1893.17,1885.08,1887.01,465.78689
2025-03-14T03:30:00+00:00,1886.09,1889.5,1884.31,1889.28,249.02467
2025-03-14T04:00:00+00:00,1889.66,1896.94,1888.96,1893.91,658.38191
2025-03-14T04:30:00+00:00,1893.32,1894.5,1890.73,1890.89,267.70001
2025-03-14T05:00:00+00:00,1890.81,1894.94,1887.77,1893.65,408.50588
2025-03-14T05:30:00+00:00,1893.65,1899.41,1893.13,1895.33,459.44982
2025-03-14T06:00:00+00:00,1895.6,1896.32,1889.28,1889.71,689.53787
2025-03-14T06:30:00+00:00,1889.69,1895.69,1888.39,1895.16,769.11435
2025-03-14T07:00:00+00:00,1894.47,1894.66,1888.25,1893.11,643.68384
2025-03-14T07:30:00+00:00,1893,1905.42,1891.01,1893.06,1386.05645
2025-03-14T08:00:00+00:00,1893.07,1902.97,1891.52,1898.8,799.37011
2025-03-14T08:30:00+00:00,1899.99,1902.3,1891.46,1894.88,944.96546
2025-03-14T09:00:00+00:00,1895.26,1898.99,1892.26,1897.75,491.1974
2025-03-14T09:30:00+00:00,1897.92,1898.32,1892.01,1894.48,433.171
2025-03-14T10:00:00+00:00,1894.57,1897.24,1889.59,1897.08,545.85306
