ts,open,high,low,close,volume
2025-02-26T20:00:00+00:00,83857,85383.3,82264.99,84220.32,2355.11299
2025-02-27T00:00:00+00:00,84260.09,85448.18,84050.2,85226.33,1270.32378
2025-02-27T04:00:00+00:00,85226.32,86720.41,84698.1,86272.01,1066.16673
2025-02-27T08:00:00+00:00,86271.99,87078.44,85889.77,86695.98,667.35967
2025-02-27T12:00:00+00:00,86708.8,86792.44,84650.3,85498.5,2042.9456
2025-02-27T16:00:00+00:00,85504.13,85690.97,83615.12,84110.03,1018.02605
2025-02-27T20:00:00+00:00,84110.03,84926.16,82728.01,84712.01,941.5653
2025-02-28T00:00:00+00:00,84712.02,84892.84,79551.14,80444.01,3475.31333
2025-02-28T04:00:00+00:00,80456.02,80962.02,78852,79207.75,2666.89475
2025-02-28T08:00:00+00:00,79214.48,80840.19,78276.98,80535.88,1943.24607
2025-02-28T12:00:00+00:00,80530.94,84407.72,80075.55,84022.37,2651.60884
2025-02-28T16:00:00+00:00,84014.27,85107.5,83200,84484.44,1920.67779
2025-02-28T20:00:00+00:00,84449.1,84791.52,83604,84350.38,814.46648
2025-03-01T00:00:00+00:00,84357.01,85670.33,83824.84,85316.5,911.46281
2025-03-01T04:00:00+00:00,85311.27,86557.98,84740.15,84740.15,758.78054
2025-03-01T08:00:00+00:00,84740.16,85500,84382.63,84617.44,475.0125
2025-03-01T12:00:00+00:00,84672.03,84939.99,84338.37,84808.02,337.45772
2025-03-01T16:00:00+00:00,84804.32,85562.68,84700.01,85485.42,298.70212
2025-03-01T20:00:00+00:00,85485.42,86262.74,85285.88,86068.83,203.59396
2025-03-02T00:00:00+00:00,86055.36,86494.82,85647.82,85871.39,332.44885
2025-03-02T04:00:00+00:00,85873.07,86560.11,85540.82,86232.41,283.92431
2025-03-02T08:00:00+00:00,86239.13,86260.52,85651.96,86107.86,223.84935
2025-03-02T12:00:00+00:00,86105.89,88670.04,85053.23,87418.04,1253.16332
2025-03-02T16:00:00+00:00,87428,94995.88,87310.01,93532.34,4320.65573
2025-03-02T20:00:00+00:00,93544.38,94839.49,93502.01,94265.52,1353.66023
2025-03-03T00:00:00+00:00,94265.51,94411.63,92453.93,92706.16,1134.79146
2025-03-03T04:00:00+00:00,92709.99,93349.99,91207.14,92363.05,948.51641
2025-03-03T08:00:00+00:00,92366.15,92915.55,91145,92729,966.3768
2025-03-03T12:00:00+00:00,92790,93710.41,89139.85,90039.34,2205.12957
2025-03-03T16:00:00+00:00,90035.38,90998.56,85565.47,85606.97,2263.76396
2025-03-03T20:00:00+00:00,85606.95,87034.48,85140,86216.01,1233.7979
2025-03-04T00:00:00+00:00,86230,86796.41,82496.24,83981.29,2029.04313
2025-03-04T04:00:00+00:00,83981.29,84546.55,83142.05,83184.01,837.0496
